Essn,Pno,Hours
001614905,13,18.0
101248268,29,10.0
111111100,61,40.0
111111101,61,40.0
111111102,61,40.0
111111103,61,40.0
111422203,4,45.0
112244668,95,40.0
122344668,3,10.0
122344668,20,10.0
122344668,30,25.0
123456789,1,32.5
123456789,2,7.5
202843824,11,20.0
214370999,10,35.0
222222200,62,40.0
222222201,62,48.0
222222202,62,40.0
222222203,62,40.0
222222204,62,40.0
222222205,62,40.0
222333444,91,10.0
223344667,63,20.0
234234234,95,35.0
241625699,61,4.0
242535609,62,20.0
242535609,70,20.0
242916639,4,5.0
242916639,11,20.0
245239264,10,25.0
245239264,11,25.0
254937381,70,40.0
292740167,1,25.0
333333300,63,40.0
333333301,63,46.0
333445555,2,10.0
333445555,3,10.0
333445555,10,10.0
333445555,20,10.0
343434344,63,40.0
349273344,29,15.0
398172999,70,10.0
432765098,63,25.0
444212096,63,25.0
444222666,62,25.0
444444400,91,40.0
444444401,91,40.0
444444402,91,40.0
444444403,91,40.0
453453453,1,20.0
453453453,2,20.0
555555500,92,40.0
555555501,92,44.0
614370310,3,45.0
636669233,4,11.0
666666601,91,40.0
666666602,3,48.0
666666602,10,48.0
666666603,91,40.0
666666604,91,40.0
666666605,92,40.0
666666606,91,40.0
666666607,61,40.0
666666608,62,40.0
666666609,63,40.0
666666610,61,40.0
666666611,61,40.0
666666612,61,40.0
666666613,61,30.0
666666613,62,10.0
666666613,63,10.0
666884444,3,40.0
673466642,22,4.0
849934919,95,23.0
888665555,20,5.0
906218888,29,15.0
913323708,92,33.0
913353347,22,30.0
987654321,20,15.0
987654321,30,20.0
987987987,10,35.0
987987987,30,5.0
999887777,10,10.0
999887777,30,30.0
999999999,1,2.0
999999999,2,2.0
999999999,3,4.0
999999999,10,4.0
999999999,20,4.0
999999999,30,4.0
999999999,61,4.0
999999999,62,4.0
999999999,63,4.0
999999999,70,2.0
999999999,91,2.0
999999999,92,1.0
999999999,95,3.0
